Product Status;Instrument Status;Instrument;ISIN;Product ID;Instrument ID;WKN;Mnemonic;Primary Market MIC Code
Active;Active;FID.2-SDEMB EFT INCDLD;IE00BM9GRP64;352459;6264040;000A2QKWQ;FESD;XDUB
Active;Active;WT.EM.MK.EXSTOESC DLA;IE00BM9TSP27;402902;6710670;000A2QPTX;XSOE;XDUB
Active;Active;VANECK SEMICONDUCT UC.ETF;IE00BMC38736;312970;5879481;000A2QC5J;VVSM;XDUB
Active;Active;UBS FDSO-CMCI CO.CR.SFHEO;IE00BMC5DV85;249512;5331425;000A2P2W6;UEQV;XFRA
Active;Active;ISH3-DL DBB ETF CL-HDGEOA;IE00BMCZLH06;276126;5518113;000A2QA0V;UEEG;XFRA
Active;Active;ISHSVI-EMWDMVE CLDLD;IE00BMCZLJ20;276125;5518112;000A2QA0W;UEEH;XFRA
Active;Active;INVESCOM2 NASDAQ NEXTGEN;IE00BMD8KP97;352314;6257327;000A2QPVX;EQQJ;XDUB
Active;Active;ISHS3 M PXJ ELE DLA;IE00BMDBMK72;491022;7615400;000A2QGKU;APJX;XAMS
Active;Active;ISHS 2 EO GR.BD EOD;IE00BMDBMN04;352457;6264038;000A2QFXF;GRON;XFRA
Active;Active;INVESCOM2 MSCI PEXJAP ESG;IE00BMDBMT65;405027;6745742;000A2QGU0;ESGP;XDUB
Active;Active;INVESCOM2 MSCI JAPAN ESG;IE00BMDBMV87;473210;7388636;000A2QGU3;ESGJ;XDUB
Active;Active;INVESCOM2 MSCI EUEXUK ESG;IE00BMDBMW94;346856;6200472;000A2QGU2;ESGX;XFRA
Active;Active;INVESCOM2 EMU ESG UNI SCR;IE00BMDBMX02;346855;6200471;000A2QGU1;EEMU;XFRA
Active;Active;INVESCOM2 MSCI EM ESG UNI;IE00BMDBMY19;390554;6599601;000A2QGUZ;ESGM;XDUB
Active;Active;ISHSII-EHYCBESG CL-HDGEOA;IE00BMDFDY08;276127;5518114;000A2QA0U;UEEF;XFRA
Active;Active;VANE.-VANECK HYDRO.EC UC;IE00BMDH1538;354441;6270784;000A2QMWR;HDR0;XDUB
Active;Active;VNE-DIG.AS.;IE00BMDKNW35;366866;6371221;000A2QQ8F;DAVV;XFRA
Active;Active;FLS-SE6 PAC ETF EOA;IE00BMDPBY65;264228;5474138;000A2P5CM;FLXP;XFRA
Active;Active;FLS-SP5 PAC ETF DLA;IE00BMDPBZ72;264229;5474139;000A2P5CL;FLX5;XFRA
Active;Active;JPMI-AAXJREIEE JPETFADDLA;IE00BMDV7354;473281;7390588;000A3CPEP;JREA;XDUB
Active;Active;JPMIRMBUSIEETF JPETFDDDLD;IE00BMDV7461;482224;7508963;000A3CPES;JCST;XDUB
Active;Active;JPMICHAREIEE JPETFADDLA;IE00BMDV7578;473279;7390586;000A3CPEQ;JREC;XDUB
Active;Active;JPME-CB.TR.G.E..E.I.E.DLA;IE00BMDWYZ92;306555;5793015;000A2P4WJ;JPCT;XDUB
Active;Active;CSIF(IE)ETF-FEPRANDGB ADL;IE00BMDX0K95;251893;5391533;000A2P4U0;CSYZ;XSWX
Active;Active;CSIF(IE)ETF-MUSSCELB BDL;IE00BMDX0L03;251894;5391534;000A2P4U1;CSY8;XSWX
Active;Active;CSIF(IE)ETF-MWESGLMVB BDL;IE00BMDX0M10;261933;5467470;000A2P4U2;CSY9;XFRA
Active;Active;XTR.IE-N.100E. 1CDLA;IE00BMFKG444;330570;6064332;000A2QJU3;XNAS;XFRA
